X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Range,Y,Marca,Modelo,Ano-modelo
101323.22727272728,101590.80303030302,101830.09067952249,101914.8164983165,102090.32558945748,102456.52787014621,102560.9342933619,102823.4521968853,103082.91844885457,103354.89835162183,103678.36011066662,103889.66222795566,Mês 13 - Mês 24,104045.95777325012,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
101590.80303030302,101830.09067952249,101914.8164983165,102090.32558945748,102456.52787014621,102560.9342933619,102823.4521968853,103082.91844885457,103354.89835162183,103678.36011066662,103889.66222795566,104045.95777325012,Mês 14 - Mês 25,104284.5669114354,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
101830.09067952249,101914.8164983165,102090.32558945748,102456.52787014621,102560.9342933619,102823.4521968853,103082.91844885457,103354.89835162183,103678.36011066662,103889.66222795566,104045.95777325012,104284.5669114354,Mês 15 - Mês 26,104535.71044575049,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
101914.8164983165,102090.32558945748,102456.52787014621,102560.9342933619,102823.4521968853,103082.91844885457,103354.89835162183,103678.36011066662,103889.66222795566,104045.95777325012,104284.5669114354,104535.71044575049,Mês 16 - Mês 27,104798.88266492327,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
102090.32558945748,102456.52787014621,102560.9342933619,102823.4521968853,103082.91844885457,103354.89835162183,103678.36011066662,103889.66222795566,104045.95777325012,104284.5669114354,104535.71044575049,104798.88266492327,Mês 17 - Mês 28,105044.76838388745,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
102456.52787014621,102560.9342933619,102823.4521968853,103082.91844885457,103354.89835162183,103678.36011066662,103889.66222795566,104045.95777325012,104284.5669114354,104535.71044575049,104798.88266492327,105044.76838388745,Mês 18 - Mês 29,105278.75129366021,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
102560.9342933619,102823.4521968853,103082.91844885457,103354.89835162183,103678.36011066662,103889.66222795566,104045.95777325012,104284.5669114354,104535.71044575049,104798.88266492327,105044.76838388745,105278.75129366021,Mês 19 - Mês 30,105534.11492405953,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
102823.4521968853,103082.91844885457,103354.89835162183,103678.36011066662,103889.66222795566,104045.95777325012,104284.5669114354,104535.71044575049,104798.88266492327,105044.76838388745,105278.75129366021,105534.11492405953,Mês 20 - Mês 31,105768.46369875073,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
103082.91844885457,103354.89835162183,103678.36011066662,103889.66222795566,104045.95777325012,104284.5669114354,104535.71044575049,104798.88266492327,105044.76838388745,105278.75129366021,105534.11492405953,105768.46369875073,Mês 21 - Mês 32,106001.46977344857,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
103354.89835162183,103678.36011066662,103889.66222795566,104045.95777325012,104284.5669114354,104535.71044575049,104798.88266492327,105044.76838388745,105278.75129366021,105534.11492405953,105768.46369875073,106001.46977344857,Mês 22 - Mês 33,106233.31867640896,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
103678.36011066662,103889.66222795566,104045.95777325012,104284.5669114354,104535.71044575049,104798.88266492327,105044.76838388745,105278.75129366021,105534.11492405953,105768.46369875073,106001.46977344857,106233.31867640896,Mês 23 - Mês 34,106467.48182982518,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
103889.66222795566,104045.95777325012,104284.5669114354,104535.71044575049,104798.88266492327,105044.76838388745,105278.75129366021,105534.11492405953,105768.46369875073,106001.46977344857,106233.31867640896,106467.48182982518,Mês 24 - Mês 35,106717.47518062664,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2015.0
109117.0,108672.0,108258.0,108040.0,107752.0,107233.0,106956.0,107055.0,107100.0,108413.0,107410.0,108866.0,Mês 1 - Mês 12,107449.13636363635,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
108672.0,108258.0,108040.0,107752.0,107233.0,106956.0,107055.0,107100.0,108413.0,107410.0,108866.0,107449.13636363635,Mês 2 - Mês 13,107553.72727272726,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
108258.0,108040.0,107752.0,107233.0,106956.0,107055.0,107100.0,108413.0,107410.0,108866.0,107449.13636363635,107553.72727272726,Mês 3 - Mês 14,107674.59986225894,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
108040.0,107752.0,107233.0,106956.0,107055.0,107100.0,108413.0,107410.0,108866.0,107449.13636363635,107553.72727272726,107674.59986225894,Mês 4 - Mês 15,107798.77571166205,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
107752.0,107233.0,106956.0,107055.0,107100.0,108413.0,107410.0,108866.0,107449.13636363635,107553.72727272726,107674.59986225894,107798.77571166205,Mês 5 - Mês 16,107944.61927470293,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
107233.0,106956.0,107055.0,107100.0,108413.0,107410.0,108866.0,107449.13636363635,107553.72727272726,107674.59986225894,107798.77571166205,107944.61927470293,Mês 6 - Mês 17,108088.95119004553,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
106956.0,107055.0,107100.0,108413.0,107410.0,108866.0,107449.13636363635,107553.72727272726,107674.59986225894,107798.77571166205,107944.61927470293,108088.95119004553,Mês 7 - Mês 18,108162.54741316734,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
107055.0,107100.0,108413.0,107410.0,108866.0,107449.13636363635,107553.72727272726,107674.59986225894,107798.77571166205,107944.61927470293,108088.95119004553,108162.54741316734,Mês 8 - Mês 19,108163.01126263068,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
107100.0,108413.0,107410.0,108866.0,107449.13636363635,107553.72727272726,107674.59986225894,107798.77571166205,107944.61927470293,108088.95119004553,108162.54741316734,108163.01126263068,Mês 9 - Mês 20,108129.78666434695,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
108413.0,107410.0,108866.0,107449.13636363635,107553.72727272726,107674.59986225894,107798.77571166205,107944.61927470293,108088.95119004553,108162.54741316734,108163.01126263068,108129.78666434695,Mês 10 - Mês 21,108044.66850621272,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
107410.0,108866.0,107449.13636363635,107553.72727272726,107674.59986225894,107798.77571166205,107944.61927470293,108088.95119004553,108162.54741316734,108163.01126263068,108129.78666434695,108044.66850621272,Mês 11 - Mês 22,108162.88429547251,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
108866.0,107449.13636363635,107553.72727272726,107674.59986225894,107798.77571166205,107944.61927470293,108088.95119004553,108162.54741316734,108163.01126263068,108129.78666434695,108044.66850621272,108162.88429547251,Mês 12 - Mês 23,108124.490112688,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
107449.13636363635,107553.72727272726,107674.59986225894,107798.77571166205,107944.61927470293,108088.95119004553,108162.54741316734,108163.01126263068,108129.78666434695,108044.66850621272,108162.88429547251,108124.490112688,Mês 13 - Mês 24,108347.92434039323,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
107553.72727272726,107674.59986225894,107798.77571166205,107944.61927470293,108088.95119004553,108162.54741316734,108163.01126263068,108129.78666434695,108044.66850621272,108162.88429547251,108124.490112688,108347.92434039323,Mês 14 - Mês 25,108378.99480692211,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
107674.59986225894,107798.77571166205,107944.61927470293,108088.95119004553,108162.54741316734,108163.01126263068,108129.78666434695,108044.66850621272,108162.88429547251,108124.490112688,108347.92434039323,108378.99480692211,Mês 15 - Mês 26,108401.75404709701,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
107798.77571166205,107944.61927470293,108088.95119004553,108162.54741316734,108163.01126263068,108129.78666434695,108044.66850621272,108162.88429547251,108124.490112688,108347.92434039323,108378.99480692211,108401.75404709701,Mês 16 - Mês 27,108420.22718022203,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
107944.61927470293,108088.95119004553,108162.54741316734,108163.01126263068,108129.78666434695,108044.66850621272,108162.88429547251,108124.490112688,108347.92434039323,108378.99480692211,108401.75404709701,108420.22718022203,Mês 17 - Mês 28,108438.14589313309,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
108088.95119004553,108162.54741316734,108163.01126263068,108129.78666434695,108044.66850621272,108162.88429547251,108124.490112688,108347.92434039323,108378.99480692211,108401.75404709701,108420.22718022203,108438.14589313309,Mês 18 - Mês 29,108464.7262296947,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
108162.54741316734,108163.01126263068,108129.78666434695,108044.66850621272,108162.88429547251,108124.490112688,108347.92434039323,108378.99480692211,108401.75404709701,108420.22718022203,108438.14589313309,108464.7262296947,Mês 19 - Mês 30,108508.3495111633,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
108163.01126263068,108129.78666434695,108044.66850621272,108162.88429547251,108124.490112688,108347.92434039323,108378.99480692211,108401.75404709701,108420.22718022203,108438.14589313309,108464.7262296947,108508.3495111633,Mês 20 - Mês 31,108565.04452289047,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
108129.78666434695,108044.66850621272,108162.88429547251,108124.490112688,108347.92434039323,108378.99480692211,108401.75404709701,108420.22718022203,108438.14589313309,108464.7262296947,108508.3495111633,108565.04452289047,Mês 21 - Mês 32,108625.01798698884,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
108044.66850621272,108162.88429547251,108124.490112688,108347.92434039323,108378.99480692211,108401.75404709701,108420.22718022203,108438.14589313309,108464.7262296947,108508.3495111633,108565.04452289047,108625.01798698884,Mês 22 - Mês 33,108679.66072462373,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
108162.88429547251,108124.490112688,108347.92434039323,108378.99480692211,108401.75404709701,108420.22718022203,108438.14589313309,108464.7262296947,108508.3495111633,108565.04452289047,108625.01798698884,108679.66072462373,Mês 23 - Mês 34,108711.95182659444,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
108124.490112688,108347.92434039323,108378.99480692211,108401.75404709701,108420.22718022203,108438.14589313309,108464.7262296947,108508.3495111633,108565.04452289047,108625.01798698884,108679.66072462373,108711.95182659444,Mês 24 - Mês 35,108751.21942307665,Nissan,Frontier SV AT.CD 4x4 2.5 TB Diesel Mec.,2016.0
