Indice,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
153,271707.0,273387.2352479384,0.006183996908207842,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
154,268242.0,271293.6715186,0.011376561159699159,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
155,266879.0,273399.95664515,0.02443413174191311,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
156,262075.0,275066.36796280136,0.049571183679486264,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
157,259956.0,276175.39674558106,0.06239285396598295,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
158,254239.0,276619.3791590824,0.08802889863114009,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
159,252245.0,276279.67533076747,0.0952830594492159,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
160,248299.0,275925.9001757953,0.1112646453501436,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
161,131572.0,132070.0,0.0037849998479919738,Mês 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
162,128612.0,132105.0,0.027159207538954375,Mês 14,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
163,128380.0,132146.25,0.029336734693877552,Mês 15,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
164,127355.0,132226.9375,0.03825477994582074,Mês 16,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
165,126636.0,132172.765625,0.0437218928661676,Mês 17,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
166,123831.0,131985.49609375,0.0658518149231614,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
167,125992.0,131639.9541015625,0.044827878766608195,Mês 19,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
168,124359.0,131656.03361002603,0.05867716538429894,Mês 20,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
169,124123.0,131675.28641086153,0.060845181077330814,Mês 21,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
170,123752.0,131701.06027843335,0.06423379241089716,Mês 22,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
171,123033.0,131734.06530163612,0.07072139427337476,Mês 23,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
172,123869.0,131777.7374101058,0.06384759229594002,Mês 24,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
173,120907.0,131907.54886094795,0.09098355646032033,Mês 25,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
174,118963.0,131894.01126602694,0.10869775700030208,Mês 26,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
175,117588.0,131876.42887152918,0.12151264475566535,Mês 27,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
176,118382.0,131853.94377748994,0.11380060969986942,Mês 28,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
177,116137.0,131822.86096728078,0.13506342481104885,Mês 29,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
178,114386.0,131793.7022458042,0.1521838533194988,Mês 30,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
179,111686.0,131777.71942514202,0.17989469965028754,Mês 31,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
180,110188.0,131789.19986877366,0.19603949494294898,Mês 32,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
181,109584.0,131800.2970570026,0.2027330363648216,Mês 33,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
182,109679.0,131810.7146108477,0.2017862545322961,Mês 34,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
183,107697.0,131819.85247188224,0.22398815632638092,Mês 35,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
184,107241.0,131827.0014027361,0.2292593448656399,Mês 36,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
185,139663.0,140360.66666666666,0.004995357873356988,Mês 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
186,139555.0,140553.30555555556,0.00715349185307271,Mês 14,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
187,137357.0,140741.16435185185,0.02463772761382277,Mês 15,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
188,139279.0,141041.4280478395,0.012653939559011007,Mês 16,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
189,138262.0,141096.04705182614,0.020497656997773377,Mês 17,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
190,137613.0,141116.134306145,0.02545641985964253,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
191,136724.0,141153.8121649904,0.03239966768811917,Mês 19,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
192,138534.0,141198.29651207294,0.019232076689281584,Mês 20,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
